Player,Events,SG Putt,SG ARG,SG APP,SG OTT,SG T2G,SG Total,research_id
Adam Scott,6,0.16,-0.10,0.75,0.97,1.62,1.57,17
Aldrich Potgieter,7,-0.05,-0.24,-0.31,0.72,0.17,-0.04,101
Billy Horschel,6,-0.28,-0.05,0.04,-0.30,-0.31,-0.78,133
Bud Cauley,5,-0.59,0.07,0.47,0.04,0.57,0.12,94
Cameron Young,4,0.16,0.17,0.40,0.57,1.14,1.32,27
Chris Gotterup,5,-0.11,0.48,0.73,0.92,2.14,1.98,7
Collin Morikawa,4,-0.24,0.07,1.31,0.71,2.09,1.85,10
Hideki Matsuyama,5,0.45,0.73,1.03,-0.18,1.58,2.19,4
Jake Knapp,5,1.18,0.23,0.62,0.64,1.50,2.70,2
Jason Day,4,0.84,0.46,0.13,0.16,0.75,1.30,29
Joel Dahmen,4,-0.08,0.07,0.30,0.82,1.20,1.61,14
Justin Rose,4,0.44,-0.32,0.99,0.16,0.83,1.54,19
Lucas Glover,2,-0.64,-0.59,0.51,-0.13,-0.22,-0.86,140
Ludvig Aberg,4,0.05,0.11,0.25,0.32,0.68,0.37,82
Matt Fitzpatrick,4,-0.37,0.12,1.36,0.76,2.23,1.71,11
Patrick Cantlay,4,-0.11,0.38,0.73,0.40,1.51,1.39,24
Rickie Fowler,4,0.82,-0.48,0.78,0.39,0.69,1.65,13
Russell Henley,4,0.54,0.00,0.74,0.09,0.84,1.49,21
Sam Burns,4,0.38,-0.48,0.53,0.33,0.39,0.91,48
Scottie Scheffler,4,0.86,0.60,0.50,1.05,2.15,3.15,1
Shane Lowry,5,0.38,-0.13,1.51,0.17,1.54,1.93,8
Si Woo Kim,7,-0.59,0.23,1.50,0.72,2.44,2.07,6
Viktor Hovland,5,-0.29,0.12,0.90,0.05,1.07,0.79,51
Webb Simpson,3,0.34,-0.48,0.19,-0.89,-1.18,-0.84,139
Xander Schauffele,4,0.42,-0.02,0.49,0.77,1.25,1.59,15
